...1,url,title,textualRating,languageCode,publisher.name,publisher.site,reviewDate,text,claimant,claimDate,claimant_party
15205,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-54,Elections |Fact Checks of the 2016 Election,Not quite.,en,The New York Times,nytimes.com,2016-01-15T00:00:00Z,Mr. Cruz said he disclosed bank loans that he obtained for his 2012 Senate campaign with the Senate; but his failure to disclose them to federal elections officials was just a paperwork error.,Ted Cruz,2016-01-15T00:00:00Z,Republican
15320,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-56,Elections |Fact Checks of the 2016 Election,Where's the evidence?,en,The New York Times,nytimes.com,2016-01-15T00:00:00Z,Mr. Kasich said wages have not climbed 'because the Federal Reserve kept interest rates so low.',John Kasich,2016-01-15T00:00:00Z,Republican
15524,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-51,Elections |Fact Checks of the 2016 Election,A negative spin on things.,en,The New York Times,nytimes.com,2016-01-15T00:00:00Z,Obama allowed Iran to kidnap American sailors; reflecting American weakness.,Chris Christie,2016-01-15T00:00:00Z,Republican
15045,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-69,Elections |Fact Checks of the 2016 Election,More or less.,en,The New York Times,nytimes.com,2016-01-18T00:00:00Z,Hillary Clinton said Senator Bernie Sanders called President Obama 'weak' and 'disappointing;' and; in 2011; 'publicly sought someone to run in a primary' against him.,Hillary Clinton,2016-01-18T00:00:00Z,Democratic
15262,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-67,Elections |Fact Checks of the 2016 Election,Not quite; but close.,en,The New York Times,nytimes.com,2016-01-18T00:00:00Z,Senator Bernie Sanders said the United States spends almost three times more than the British on health care.,Bernie Sanders,2016-01-18T00:00:00Z,Democratic
15438,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-65,Elections |Fact Checks of the 2016 Election,That's the right number.,en,The New York Times,nytimes.com,2016-01-18T00:00:00Z,Senator Bernie Sanders said 29 million people in the United States do not have health insurance.,Bernie Sanders,2016-01-18T00:00:00Z,Democratic
15265,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-75,Elections |Fact Checks of the 2016 Election,Missing the point.,en,The New York Times,nytimes.com,2016-01-29T00:00:00Z,Ted Cruz says he would carpet bomb the Islamic State; which Obama has failed to do because he has weakened the military.,Ted Cruz,2016-01-29T00:00:00Z,Republican
15317,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-81,Elections |Fact Checks of the 2016 Election,Wishful thinking.,en,The New York Times,nytimes.com,2016-01-29T00:00:00Z,Marco Rubio said that other countries would go along when he ripped up the Iran deal.,Marco Rubio,2016-01-29T00:00:00Z,Republican
15375,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-80,Elections |Fact Checks of the 2016 Election,A step too far.,en,The New York Times,nytimes.com,2016-01-29T00:00:00Z,Chris Christie said neighbors of the San Bernardino attackers knew of their plans.,Chris Christie,2016-01-29T00:00:00Z,Republican
15401,http://www.nytimes.com/interactive/2016/us/elections/fact-check.html#/factcheck-83,Elections |Fact Checks of the 2016 Election,She didn't make any promises.,en,The New York Times,nytimes.com,2016-01-29T00:00:00Z,Mr. Rubio said Hillary Clinton 'wants to put Barack Obama on the Supreme Court of the United States of America.',Marco Rubio,2016-01-29T00:00:00Z,Republican
