...1,url,title,textualRating,languageCode,publisher.name,publisher.site,reviewDate,text,claimant,claimDate,claimant_party
13448,https://www.washingtonpost.com/politics/2019/03/22/iraq-war-wmds-an-intelligence-failure-or-white-house-spin/?utm_term=.65369dd26147,Analysis | The Iraq War and WMDs: An intelligence failure or White House spin?,Lacks Context,en,The Washington Post,washingtonpost.com,2019-03-22T10:41:41Z,The Iraq war began sixteen years ago tomorrow. There is a myth about the war that I have been meaning to set straight for years. After no WMDs were found; the left claimed ‘Bush lied. People died.’ This accusation itself is a lie. It’s time to put it to rest.',Ari Fleischer,2019-03-19T00:00:00Z,Republican
13478,https://www.washingtonpost.com/politics/2019/03/27/did-eight-democratic-candidates-boycott-aipac-conference/?utm_term=.221ddcb06874,Analysis | Did eight Democratic candidates ‘boycott’ the AIPAC conference?,Two Pinocchios,en,The Washington Post,washingtonpost.com,2019-03-27T10:35:38Z,As I stand before you; eight Democrat candidates for president are actually boycotting this very conference.',Mike Pence,2019-03-25T00:00:00Z,Republican
13593,https://www.washingtonpost.com/politics/2019/03/29/kamala-harriss-careful-answer-jailing-parents-whose-kids-missed-school/,Analysis | Kamala Harris’s careful answer on jailing parents whose kids missed school,Two Pinocchios,en,The Washington Post,washingtonpost.com,2019-03-29T13:50:53Z,When I did it [established a program to prosecute parents whose kids missed school]; I knew I was going to take a political hit. And the people around me said; ‘Don’t do it; because you are gonna pay a price for this in terms of whatever future you want in politics.’ And I said: ‘Look; I’m prepared to play the bad guy on this. I do not intend to put any parent in jail.’ And no parent went to jail.',Kamala D. Harris,2019-02-26T00:00:00Z,Democratic
13874,https://www.washingtonpost.com/politics/2019/04/02/mick-mulvaneys-nonsensical-math-obamacare/?utm_term=.f5792ceea804,Mick Mulvaney's nonsensical math on Obamacare,Four Pinocchios,en,The Washington Post,washingtonpost.com,2019-04-02T10:39:26Z,But keep in mind; you put all of those people together; people who are on the individual exchanges; people who are on their parents’ programs at 26; more people than that; most of them in the middle class; paid a fine last year so they didn’t have to take Obamacare.',Mick Mulvaney,2019-03-31T00:00:00Z,Republican
13458,https://www.washingtonpost.com/politics/2019/04/05/schumers-claim-that-blue-slips-were-longstanding-requirement-judicial-nominees/?utm_term=.fbf028f50b3e,Analysis | Schumer’s claim that ‘blue slips’ were a ‘longstanding requirement’ for judicial nominees,Two Pinocchios,en,The Washington Post,washingtonpost.com,2019-04-05T12:53:14Z,Mitch McConnell 'ordered the Republican Judiciary Committee Chairman to do away with the long-standing requirement that senators be consulted about circuit court judicial nominees in their home states.',Charles Schumer,2019-04-02T00:00:00Z,Democratic
14029,https://www.washingtonpost.com/politics/2019/04/08/betsy-devoss-claim-about-public-funding-education-freedom-scholarships/,Analysis | Betsy DeVos’s claim about public funding for ‘Education Freedom Scholarships’,Three Pinocchios,en,The Washington Post,washingtonpost.com,2019-04-08T14:45:50Z,Despite what some may try to tell you … Education Freedom Scholarships are privately funded and do not take any money from public schools.',Betsy DeVos,2019-04-02T00:00:00Z,Republican
14470,https://www.washingtonpost.com/politics/2019/04/09/orourkes-claim-that-us-has-spent-years-iraq/?utm_term=.db2b801054ed,Analysis | O’Rourke’s claim that the United States has spent ‘27 years’ in Iraq,Three Pinocchios,en,The Washington Post,washingtonpost.com,2019-04-09T11:19:27Z,Those wars that we ask our fellow Americans; these service members to fight on our behalf; 17 years and counting in Afghanistan; 27 years and counting in Iraq; let’s bring these wars to a close.',Beto O'Rourke,2018-03-30T00:00:00Z,Democratic
14701,https://www.washingtonpost.com/politics/2019/04/11/some-people-did-something-rep-omars-remarks-context/?utm_term=.fbee595775b4,Analysis | ‘Some people did something’: Rep. Omar’s remarks in context,For the Record,en,The Washington Post,washingtonpost.com,2019-04-11T10:32:33Z,CAIR was founded after 9/11; because they recognized that some people did something and that all of us were starting to lose access to our civil liberties.',Ilhan Omar,2019-03-23T00:00:00Z,Democratic
13476,https://www.washingtonpost.com/politics/2019/04/15/guide-democratic-talking-points-not-far-off-mark/?utm_term=.f382ebda8808,Analysis | A guide to Democratic talking points not far off the mark,TRUE,en,The Washington Post,washingtonpost.com,2019-04-15T12:09:51Z,Forty percent of Americans say they don’t have enough cash to cover a $400 emergency expense.',Kamala Harris,2019-04-04T00:00:00Z,Democratic
13530,https://www.washingtonpost.com/politics/2019/04/15/guide-democratic-talking-points-not-far-off-mark/?utm_term=.f382ebda8808,Analysis | A guide to Democratic talking points not far off the mark,TRUE,en,The Washington Post,washingtonpost.com,2019-04-15T12:12:49Z,In 2017; there were more marijuana arrests in this country than all violent crime arrests combined.',Cory Booker,2019-03-27T00:00:00Z,Democratic
14270,https://www.washingtonpost.com/politics/2019/04/15/guide-democratic-talking-points-not-far-off-mark/?utm_term=.f382ebda8808,Analysis | A guide to Democratic talking points not far off the mark,Correct,en,The Washington Post,washingtonpost.com,2019-04-15T12:15:49Z,In health care; we have to deal with the fact that if you’re a black woman in America today — in New York City; you’re 12 times more likely to die in childbirth; four times more likely nationwide.',Kirsten Gillibrand,2019-04-10T00:00:00Z,Democratic
14619,https://www.washingtonpost.com/politics/2019/04/15/guide-democratic-talking-points-not-far-off-mark/?utm_term=.f382ebda8808,Analysis | A guide to Democratic talking points not far off the mark,Correct,en,The Washington Post,washingtonpost.com,2019-04-15T12:21:38Z,Seventy percent of our kids are never going to get a four-year degree.',John Hickenlooper,2019-04-11T00:00:00Z,Democratic
